station_name,longitude,latitude,station_code,color,line
Esplanade,103.85561173051623,1.2932599005110816,CC3,Orange,Circle
Paya Lebar,103.89227219451108,1.3173694012363306,EW8 CC9,Green,East West
Paya Lebar,103.89227219451108,1.3173694012363306,CC9 EW8,Orange,Circle
Dhoby Ghaut,103.8458331610417,1.2990442030454223,NS24 NE6 CC1,Red,North South
Dhoby Ghaut,103.8458331610417,1.2990442030454223,NE6 NS24 CC1,Purple,North East
Dhoby Ghaut,103.8458331610417,1.2990442030454223,CC1 NS24 NE6,Orange,Circle
Dakota,103.88866829961988,1.3083751548578983,CC8,Orange,Circle
Lavender,103.86283780137067,1.3073717305401726,EW11,Green,East West
Renjong,103.8904287884913,1.3867475130805276,SW8,,Sengkang LRT
Dover,103.77864915497852,1.3113946902694622,EW22,Green,East West
Hougang,103.89234753417199,1.3712811748310318,NE14,Purple,North East
Phoenix,103.7580336231313,1.3786249494438885,BP5,,Bukit Panjang LRT
Aljunied,103.88290604346119,1.3164324728309895,EW9,Green,East West
Cove,103.90591744003868,1.3993617069210023,PE1,,Punggol LRT
Pasir Ris,103.9492576380466,1.372951874838454,EW1,Green,East West
Admiralty,103.80097700881026,1.4405870899071695,NS10,Red,North South
Kembangan,103.91294752764095,1.3210380679728027,EW6,Green,East West
Punggol Point,103.90653551146728,1.41691085274144,,,
Marsiling,103.77419400271717,1.4325651687522347,NS,Red,North South
Compassvale,103.90055527769678,1.3944787835084709,SE1,,Sengkang LRT
Khatib,103.83303805988021,1.4175768086974465,NS14,Red,North South
Layar,103.88015787540466,1.3920928723391566,SW6,,Sengkang LRT
Tampines West,103.93842947035631,1.34551750723051,DT31,Blue,Downtown
Tampines,103.94515900793745,1.3532891915288594,EW2 DT32,Green,East West
Tampines,103.94515900793745,1.3532891915288594,DT32 EW2,Blue,Downtown
Tampines East,103.95480497241815,1.3562130024622965,DT33,Blue,Downtown
Tai Seng,103.88816447585148,1.3354531036164103,CC11,Orange,Circle
Tai Seng Facility Building,103.89520334122041,1.3421829604254403,,,
Sumang,103.89851028688162,1.4083532967338412,PW6,,Punggol LRT
Sub Station,103.96375092204562,1.334444044782844,,,
Stevens,103.82602302626412,1.3200659546015552,DT10,Blue,Downtown
